lat,lon,system,datetime_cst,turb,ndti,dwl,zone,secchi,tsi_sd
31.90298,-103.9123,redbluff,2022-08-08T12:53:23Z,4.93,-0.2066326530612245,543,body,1.0538894161439627,59.24276506032993
31.90302,-103.9123,redbluff,2022-08-08T12:53:24Z,4.92,-0.2066326530612245,543,body,1.055345564590735,59.22284524583895
31.90306,-103.9122,redbluff,2022-08-08T12:53:25Z,4.91,-0.20754716981132076,547,body,1.056806693793698,59.2028849027046
31.9031,-103.9122,redbluff,2022-08-08T12:53:26Z,4.92,-0.20754716981132076,547,body,1.055345564590735,59.22284524583895
31.90316,-103.9121,redbluff,2022-08-08T12:53:27Z,4.92,-0.20754716981132076,547,body,1.055345564590735,59.22284524583895
31.90321,-103.9121,redbluff,2022-08-08T12:53:28Z,4.93,-0.20754716981132076,547,body,1.0538894161439627,59.24276506032993
31.90327,-103.9121,redbluff,2022-08-08T12:53:29Z,4.91,-0.20754716981132076,547,body,1.056806693793698,59.2028849027046
31.90333,-103.9121,redbluff,2022-08-08T12:53:30Z,4.91,-0.19350811485642944,547,body,1.056806693793698,59.2028849027046
31.90339,-103.912,redbluff,2022-08-08T12:53:31Z,4.89,-0.19350811485642944,547,body,1.0597440036048023,59.16284196847464
31.90345,-103.912,redbluff,2022-08-08T12:53:32Z,4.89,-0.19350811485642944,547,body,1.0597440036048023,59.16284196847464
31.90351,-103.912,redbluff,2022-08-08T12:53:33Z,4.88,-0.19350811485642944,547,body,1.061220239295402,59.14275904382319
31.90358,-103.912,redbluff,2022-08-08T12:53:34Z,4.9,-0.18424396442185512,547,body,1.058272830985784,59.18288386567228
31.90364,-103.912,redbluff,2022-08-08T12:53:35Z,4.83,-0.18424396442185512,547,body,1.0686783461160871,59.04172308112335
31.9037,-103.9119,redbluff,2022-08-08T12:53:36Z,4.8,-0.18012422360248448,544,body,1.0732157826081672,58.98059823998292
31.90377,-103.9119,redbluff,2022-08-08T12:53:37Z,4.79,-0.18012422360248448,544,body,1.074738865083315,58.96013836756989
31.90383,-103.9119,redbluff,2022-08-08T12:53:38Z,4.77,-0.18012422360248448,544,body,1.077801114119663,58.9190901684955
31.90389,-103.9119,redbluff,2022-08-08T12:53:39Z,4.77,-0.1865671641791045,549,body,1.077801114119663,58.9190901684955
31.90396,-103.9119,redbluff,2022-08-08T12:53:40Z,4.74,-0.1865671641791045,549,body,1.0824351522322049,58.85719403089914
31.90402,-103.9119,redbluff,2022-08-08T12:53:41Z,4.73,-0.1865671641791045,549,body,1.0839907982918937,58.83647489908767
31.90409,-103.9119,redbluff,2022-08-08T12:53:42Z,4.68,-0.1865671641791045,549,body,1.0918526901757468,58.7322177514224
31.90415,-103.9118,redbluff,2022-08-08T12:53:43Z,4.68,-0.17661691542288557,546,body,1.0918526901757468,58.7322177514224
31.90421,-103.9118,redbluff,2022-08-08T12:53:44Z,4.69,-0.17661691542288557,546,body,1.0902690507315513,58.75315800540527
31.90428,-103.9118,redbluff,2022-08-08T12:53:45Z,4.65,-0.17661691542288557,546,body,1.0966379104882666,58.669127467970206
31.90433,-103.9118,redbluff,2022-08-08T12:53:46Z,4.66,-0.17661691542288557,546,body,1.0950370871825816,58.69020267535827
31.90439,-103.9118,redbluff,2022-08-08T12:53:47Z,4.63,-0.19070904645476772,547,body,1.0998569730202228,58.62684074186894
31.90444,-103.9118,redbluff,2022-08-08T12:53:48Z,4.64,-0.19070904645476772,547,body,1.0982445279251574,58.648006888733605
31.90449,-103.9118,redbluff,2022-08-08T12:53:49Z,4.7,-0.19070904645476772,547,body,1.0886910739272788,58.774053658174445
31.90454,-103.9118,redbluff,2022-08-08T12:53:50Z,4.68,-0.19070904645476772,547,body,1.0918526901757468,58.7322177514224
31.90459,-103.9118,redbluff,2022-08-08T12:53:51Z,4.68,-0.19070904645476772,547,body,1.0918526901757468,58.7322177514224
31.90464,-103.9118,redbluff,2022-08-08T12:53:52Z,4.67,-0.19070904645476772,547,body,1.0934420247454215,58.71123270541826
31.90469,-103.9118,redbluff,2022-08-08T12:53:53Z,4.7,-0.1942098914354644,545,body,1.0886910739272788,58.774053658174445
31.90474,-103.9118,redbluff,2022-08-08T12:53:54Z,4.7,-0.1942098914354644,545,body,1.0886910739272788,58.774053658174445
31.90478,-103.9117,redbluff,2022-08-08T12:53:55Z,4.73,-0.17191283292978207,545,body,1.0839907982918937,58.83647489908767
31.90483,-103.9117,redbluff,2022-08-08T12:53:56Z,4.7,-0.17191283292978207,545,body,1.0886910739272788,58.774053658174445
31.90488,-103.9117,redbluff,2022-08-08T12:53:57Z,4.68,-0.17191283292978207,545,body,1.0918526901757468,58.7322177514224
31.90492,-103.9117,redbluff,2022-08-08T12:53:58Z,4.69,-0.17191283292978207,545,body,1.0902690507315513,58.75315800540527
31.90498,-103.9117,redbluff,2022-08-08T12:53:59Z,4.68,-0.1920838183934808,542,body,1.0918526901757468,58.7322177514224
31.90502,-103.9117,redbluff,2022-08-08T12:54:00Z,4.68,-0.1920838183934808,542,body,1.0918526901757468,58.7322177514224
31.90507,-103.9117,redbluff,2022-08-08T12:54:01Z,4.67,-0.1920838183934808,542,body,1.0934420247454215,58.71123270541826
31.90512,-103.9117,redbluff,2022-08-08T12:54:02Z,4.69,-0.1920838183934808,542,body,1.0902690507315513,58.75315800540527
31.90516,-103.9117,redbluff,2022-08-08T12:54:03Z,4.66,-0.1920838183934808,542,body,1.0950370871825816,58.69020267535827
31.9052,-103.9117,redbluff,2022-08-08T12:54:04Z,4.67,-0.18128654970760233,544,body,1.0934420247454215,58.71123270541826
31.90524,-103.9117,redbluff,2022-08-08T12:54:05Z,4.66,-0.18128654970760233,544,body,1.0950370871825816,58.69020267535827
31.90528,-103.9116,redbluff,2022-08-08T12:54:06Z,4.71,-0.18128654970760233,544,body,1.0871187275312755,58.79490489932085
31.90533,-103.9116,redbluff,2022-08-08T12:54:07Z,4.74,-0.18128654970760233,544,body,1.0824351522322049,58.85719403089914
31.90537,-103.9116,redbluff,2022-08-08T12:54:08Z,4.74,-0.18128654970760233,544,body,1.0824351522322049,58.85719403089914
31.90541,-103.9116,redbluff,2022-08-08T12:54:09Z,4.73,-0.18128654970760233,544,body,1.0839907982918937,58.83647489908767
31.90545,-103.9116,redbluff,2022-08-08T12:54:10Z,4.75,-0.18128654970760233,544,body,1.0808850101432768,58.877869497490025
31.90549,-103.9116,redbluff,2022-08-08T12:54:11Z,4.79,-0.1926605504587156,541,body,1.074738865083315,58.96013836756989
31.90553,-103.9116,redbluff,2022-08-08T12:54:12Z,4.8,-0.1926605504587156,541,body,1.0732157826081672,58.98059823998292
31.90557,-103.9116,redbluff,2022-08-08T12:54:13Z,4.82,-0.1926605504587156,541,body,1.070185552610251,59.02139042044362
31.90561,-103.9116,redbluff,2022-08-08T12:54:14Z,4.84,-0.1926605504587156,541,body,1.0671763730179864,59.0620136887003
31.90565,-103.9116,redbluff,2022-08-08T12:54:15Z,4.86,-0.1926605504587156,541,body,1.0641880115160982,59.10246943784922
31.90569,-103.9116,redbluff,2022-08-08T12:54:16Z,4.89,-0.1926605504587156,541,body,1.0597440036048023,59.16284196847464
31.90573,-103.9116,redbluff,2022-08-08T12:54:17Z,4.87,-0.1926605504587156,541,body,1.0627015659110615,59.122634923400014
31.90576,-103.9116,redbluff,2022-08-08T12:54:18Z,4.87,-0.1972633979475485,545,body,1.0627015659110615,59.122634923400014
31.90579,-103.9117,redbluff,2022-08-08T12:54:19Z,4.9,-0.1972633979475485,545,body,1.058272830985784,59.18288386567228
31.90582,-103.9117,redbluff,2022-08-08T12:54:20Z,4.91,-0.1972633979475485,545,body,1.056806693793698,59.2028849027046
31.90584,-103.9117,redbluff,2022-08-08T12:54:21Z,4.88,-0.1972633979475485,545,body,1.061220239295402,59.14275904382319
31.90586,-103.9118,redbluff,2022-08-08T12:54:22Z,4.87,-0.18203309692671396,544,body,1.0627015659110615,59.122634923400014
31.90587,-103.9118,redbluff,2022-08-08T12:54:23Z,4.83,-0.18203309692671396,544,body,1.0686783461160871,59.04172308112335
31.90588,-103.9118,redbluff,2022-08-08T12:54:24Z,4.82,-0.18203309692671396,544,body,1.070185552610251,59.02139042044362
31.90588,-103.9119,redbluff,2022-08-08T12:54:25Z,4.81,-0.18203309692671396,544,body,1.0716980216499765,59.00101553198554
31.90587,-103.9119,redbluff,2022-08-08T12:54:26Z,4.77,-0.18203309692671396,544,body,1.077801114119663,58.9190901684955
31.90586,-103.912,redbluff,2022-08-08T12:54:27Z,4.75,-0.21462264150943397,534,body,1.0808850101432768,58.877869497490025
31.90585,-103.912,redbluff,2022-08-08T12:54:28Z,4.76,-0.21462264150943397,534,body,1.07934034102579,58.89850148252077
31.90583,-103.9121,redbluff,2022-08-08T12:54:29Z,4.74,-0.21462264150943397,534,body,1.0824351522322049,58.85719403089914
31.90581,-103.9121,redbluff,2022-08-08T12:54:30Z,4.7,-0.21462264150943397,534,body,1.0886910739272788,58.774053658174445
31.90578,-103.9122,redbluff,2022-08-08T12:54:31Z,4.7,-0.21462264150943397,534,body,1.0886910739272788,58.774053658174445
31.90576,-103.9123,redbluff,2022-08-08T12:54:32Z,4.7,-0.19632606199770375,542,body,1.0886910739272788,58.774053658174445
31.90573,-103.9123,redbluff,2022-08-08T12:54:33Z,4.68,-0.1839080459770115,540,body,1.0918526901757468,58.7322177514224
31.90569,-103.9124,redbluff,2022-08-08T12:54:34Z,4.7,-0.1839080459770115,540,body,1.0886910739272788,58.774053658174445
31.90566,-103.9125,redbluff,2022-08-08T12:54:35Z,4.69,-0.1839080459770115,540,body,1.0902690507315513,58.75315800540527
31.90563,-103.9125,redbluff,2022-08-08T12:54:36Z,4.7,-0.1839080459770115,540,body,1.0886910739272788,58.774053658174445
31.9056,-103.9126,redbluff,2022-08-08T12:54:37Z,4.7,-0.21205098493626884,533,body,1.0886910739272788,58.774053658174445
31.90556,-103.9127,redbluff,2022-08-08T12:54:38Z,4.73,-0.21205098493626884,533,body,1.0839907982918937,58.83647489908767
31.90553,-103.9128,redbluff,2022-08-08T12:54:39Z,4.74,-0.19630484988452657,543,body,1.0824351522322049,58.85719403089914
31.90549,-103.9128,redbluff,2022-08-08T12:54:40Z,4.72,-0.19630484988452657,543,body,1.085551979563272,58.81571191722908
31.90546,-103.9129,redbluff,2022-08-08T12:54:41Z,4.71,-0.19858156028368795,547,body,1.0871187275312755,58.79490489932085
31.90542,-103.913,redbluff,2022-08-08T12:54:42Z,4.73,-0.19858156028368795,547,body,1.0839907982918937,58.83647489908767
31.90539,-103.9131,redbluff,2022-08-08T12:54:43Z,4.72,-0.2250300842358604,541,body,1.085551979563272,58.81571191722908
31.90535,-103.9132,redbluff,2022-08-08T12:54:44Z,4.73,-0.2250300842358604,541,body,1.0839907982918937,58.83647489908767
