,site_id,nars_name,state,lat,lon,date,secchi (m),turb (ntu),area_ha,group,visit_no
677,NLA17_IN-10108,NLA17_IN-10108,IN,38.3251,-87.0556,8/8/2017,2.15,3.56,1.61238,all,1
678,NLA17_IN-10109,NLA17_IN-10109,IN,38.0649,-87.2974,7/20/2017,4.3,1.17,2.97935,all,1
679,NLA17_IN-10122,NLA17_IN-10122,IN,39.5711,-87.0914,9/7/2017,0.95,4.55,4.91025,all,1
680,NLA17_IN-10125,NLA17_IN-10125,IN,41.4362,-87.1835,7/31/2017,0.65,8.06,3.29065,all,1
681,NLA17_IN-10126,NLA17_IN-10126,IN,39.394,-86.038,8/16/2017,1.1,3.64,7.73461,all,1
682,NLA17_IN-10133,NLA17_IN-10133,IN,39.0661,-87.3495,7/19/2017,1.05,3.41,2.75992,all,1
683,NLA17_IN-10134,NLA17_IN-10134,IN,39.7572,-85.4159,7/28/2017,0.775,7.41,1.02072,all,1
684,NLA17_IN-10136,NLA17_IN-10136,IN,38.1268,-86.2428,7/21/2017,0.65,14.8,1.14096,all,1
685,NLA17_IN-10138,NLA17_IN-10138,IN,40.4347,-86.1621,7/26/2017,1.65,3.09,4.92874,all,1
686,NLA17_IN-10139,NLA17_IN-10139,IN,38.8426,-85.8283,8/10/2017,0.95,40.6,4.49244,all,1
687,NLA17_IN-10141,NLA17_IN-10141,IN,41.5615,-87.3042,8/14/2017,2.45,1.61,8.63586,all,1
688,NLA17_IN-10171,NLA17_IN-10171,IN,41.3449,-87.412,8/15/2017,0.35,32.2,11.7947,all,1
689,NLA17_IN-10173,NLA17_IN-10173,IN,39.2989,-86.7025,9/19/2017,0.55,10.5,1.38779,all,1
690,NLA17_KS-10001,NLA17_KS-10001,KS,39.3321,-97.3749,6/7/2017,0.075,343,10.2348,all,1
691,NLA17_KS-10003,NLA17_KS-10003,KS,38.126,-96.3096,6/12/2017,0.5,14.6,16.1022,all,1
692,NLA17_KS-10005,NLA17_KS-10005,KS,39.3488,-95.0421,6/6/2017,0.85,10.2,4.30213,all,1
693,NLA17_KS-10006,NLA17_KS-10006,KS,38.4656,-95.7363,6/11/2017,0.15,50.6,12.1901,all,1
694,NLA17_KS-10010,NLA17_KS-10010,KS,37.6557,-97.3995,6/15/2017,1.55,2.88,7.75703,all,1
695,NLA17_KS-10011,NLA17_KS-10011,KS,38.2035,-98.2024,6/13/2017,0.55,5.78,3.39312,all,1
696,NLA17_KS-10025,NLA17_KS-10025,KS,37.5045,-94.6852,6/20/2017,0.15,52.9,4.46134,all,1
697,NLA17_KS-10028,NLA17_KS-10028,KS,39.8355,-96.5596,6/8/2017,0.275,30.5,1.46318,all,1
698,NLA17_KS-10033,NLA17_KS-10033,KS,37.2252,-97.0316,6/18/2017,0.175,30.3,1.06772,all,1
699,NLA17_KS-10034,NLA17_KS-10034,KS,39.0037,-95.6276,6/9/2017,1.5,5.03,154.954,all,1
700,NLA17_KS-10035,NLA17_KS-10035,KS,37.6423,-97.7384,6/16/2017,0.075,61.5,1.65473,all,1
701,NLA17_KS-HP001,NLA17_KS-HP001,KS,37.0921,-96.7989,6/29/2017,0.95,8.11,28.5582,all,1
702,NLA17_KS-HP002,NLA17_KS-HP002,KS,37.2355,-96.1901,6/29/2017,2.05,2.55,173.972,all,1
703,NLA17_KS-HP003,NLA17_KS-HP003,KS,38.9485,-98.5687,6/30/2017,1.05,6.95,3391.56,all,1
704,NLA17_KY-10004,NLA17_KY-10004,KY,36.8752,-88.4895,6/14/2017,0.35,23.7,16.1826,all,1
705,NLA17_KY-10017,NLA17_KY-10017,KY,37.4058,-87.7858,6/13/2017,1.55,4.16,1.04185,all,1
706,NLA17_KY-10023,NLA17_KY-10023,KY,37.4046,-87.5203,6/12/2017,2.95,1.35,11.4832,all,1
707,NLA17_KY-10024,NLA17_KY-10024,KY,37.5409,-84.18,6/20/2017,1.75,3.71,63.1276,all,1
708,NLA17_LA-10024,NLA17_LA-10024,LA,30.5465,-90.5009,7/6/2017,2.05,3.38,5.63481,all,1
709,NLA17_LA-10046,NLA17_LA-10046,LA,30.7823,-90.1467,7/19/2017,0.625,8.06,1.6418,all,1
